Problem No: 2
Source: (90.394678, 23.861994)
Destination: (90.363833, 23.834145)

Ride Car from Node (90.394678, 23.861994) to Node (90.395208, 23.861926), Distance: 0.054 km, Cost: ৳1.09
Ride Car from Node (90.404813, 23.854791) to Node (90.404976, 23.854894), Distance: 0.020 km, Cost: ৳0.40
Ride Car from Node (90.404976, 23.854894) to Node (90.405082, 23.854769), Distance: 0.018 km, Cost: ৳0.35
Ride Car from Node (90.405082, 23.854769) to Node (90.416504, 23.840885), Distance: 1.932 km, Cost: ৳38.64
Ride Car from Node (90.416504, 23.840885) to Node (90.417852, 23.838712), Distance: 0.278 km, Cost: ৳5.56
Ride Car from Node (90.417852, 23.838712) to Node (90.418367, 23.837227), Distance: 0.173 km, Cost: ৳3.46
Ride Car from Node (90.418367, 23.837227) to Node (90.418794, 23.835634), Distance: 0.182 km, Cost: ৳3.65
Ride Car from Node (90.418794, 23.835634) to Node (90.419250, 23.832955), Distance: 0.301 km, Cost: ৳6.03
Ride Car from Node (90.419250, 23.832955) to Khilkhet (90.419952, 23.828786), Distance: 0.469 km, Cost: ৳9.38
Ride Car from Khilkhet (90.419952, 23.828786) to Node (90.420275, 23.826830), Distance: 0.220 km, Cost: ৳4.40
Ride Car from Node (90.420275, 23.826830) to Node (90.420459, 23.824999), Distance: 0.204 km, Cost: ৳4.09
Ride Car from Node (90.420459, 23.824999) to Node (90.420262, 23.823607), Distance: 0.156 km, Cost: ৳3.12
Ride Car from Node (90.420262, 23.823607) to Node (90.419859, 23.822765), Distance: 0.102 km, Cost: ৳2.04
Ride Car from Node (90.419859, 23.822765) to Kuril (90.419038, 23.821667), Distance: 0.148 km, Cost: ৳2.96
Ride Car from Kuril (90.419038, 23.821667) to Node (90.418130, 23.820968), Distance: 0.121 km, Cost: ৳2.41
Ride Car from Node (90.418130, 23.820968) to Node (90.417356, 23.820452), Distance: 0.097 km, Cost: ৳1.95
Ride Car from Node (90.417356, 23.820452) to Shewra (90.414977, 23.818866), Distance: 0.299 km, Cost: ৳5.99
Ride Car from Shewra (90.414977, 23.818866) to Node (90.412319, 23.817219), Distance: 0.327 km, Cost: ৳6.53
Ride Car from Node (90.412319, 23.817219) to Node (90.411457, 23.816884), Distance: 0.095 km, Cost: ৳1.91
Ride Car from Node (90.411457, 23.816884) to Node (90.410727, 23.816886), Distance: 0.074 km, Cost: ৳1.49
Ride Car from Node (90.410727, 23.816886) to Node (90.409454, 23.816909), Distance: 0.130 km, Cost: ৳2.59
Ride Car from Node (90.409454, 23.816909) to Node (90.406676, 23.816979), Distance: 0.283 km, Cost: ৳5.65
Ride Car from Node (90.406676, 23.816979) to Node (90.405609, 23.816548), Distance: 0.119 km, Cost: ৳2.37
Ride Car from Node (90.405609, 23.816548) to MES BUS Stop (90.405028, 23.816025), Distance: 0.083 km, Cost: ৳1.66
Ride Car from MES BUS Stop (90.405028, 23.816025) to Node (90.404490, 23.815063), Distance: 0.120 km, Cost: ৳2.40
Ride Car from Node (90.404490, 23.815063) to Node (90.404066, 23.812830), Distance: 0.252 km, Cost: ৳5.04
Ride Car from Node (90.404066, 23.812830) to Node (90.402068, 23.800666), Distance: 1.368 km, Cost: ৳27.36
Ride Car from Node (90.402068, 23.800666) to Node (90.401986, 23.800196), Distance: 0.053 km, Cost: ৳1.06
Ride Car from Node (90.401986, 23.800196) to Node (90.401817, 23.799134), Distance: 0.119 km, Cost: ৳2.39
Ride Car from Node (90.401817, 23.799134) to Node (90.401466, 23.797032), Distance: 0.236 km, Cost: ৳4.73
Ride Car from Node (90.401466, 23.797032) to Node (90.401046, 23.794540), Distance: 0.280 km, Cost: ৳5.61
Ride Car from Node (90.401046, 23.794540) to Node (90.400586, 23.794395), Distance: 0.050 km, Cost: ৳0.99
Ride Car from Node (90.400586, 23.794395) to Node (90.400437, 23.793641), Distance: 0.085 km, Cost: ৳1.70
Ride Car from Node (90.400437, 23.793641) to Node (90.399963, 23.790702), Distance: 0.330 km, Cost: ৳6.61
Ride Car from Node (90.399963, 23.790702) to Node (90.399949, 23.790590), Distance: 0.013 km, Cost: ৳0.25
Ride Car from Node (90.399949, 23.790590) to Node (90.399935, 23.790484), Distance: 0.012 km, Cost: ৳0.24
Ride Car from Node (90.399935, 23.790484) to Node (90.397957, 23.778191), Distance: 1.382 km, Cost: ৳27.63
Ride Car from Node (90.397957, 23.778191) to Node (90.397737, 23.778192), Distance: 0.022 km, Cost: ৳0.45
Ride Car from Node (90.397737, 23.778192) to Node (90.397439, 23.776325), Distance: 0.210 km, Cost: ৳4.20
Ride Car from Node (90.397439, 23.776325) to Node (90.397373, 23.775944), Distance: 0.043 km, Cost: ৳0.86
Ride Car from Node (90.397373, 23.775944) to Node (90.397355, 23.775846), Distance: 0.011 km, Cost: ৳0.22
Ride Car from Node (90.397355, 23.775846) to Node (90.397201, 23.774917), Distance: 0.104 km, Cost: ৳2.09
Ride Car from Node (90.397201, 23.774917) to Node (90.397060, 23.774009), Distance: 0.102 km, Cost: ৳2.04
Ride Car from Node (90.397060, 23.774009) to Node (90.396849, 23.772707), Distance: 0.146 km, Cost: ৳2.93
Ride Car from Node (90.396849, 23.772707) to Node (90.396736, 23.771993), Distance: 0.080 km, Cost: ৳1.60
Ride Car from Node (90.396736, 23.771993) to Node (90.396648, 23.771385), Distance: 0.068 km, Cost: ৳1.36
Ride Car from Node (90.396648, 23.771385) to Node (90.396548, 23.770727), Distance: 0.074 km, Cost: ৳1.48
Ride Car from Node (90.396548, 23.770727) to Node (90.396379, 23.769650), Distance: 0.121 km, Cost: ৳2.42
Ride Car from Node (90.396379, 23.769650) to Node (90.396339, 23.769402), Distance: 0.028 km, Cost: ৳0.56
Ride Car from Node (90.396339, 23.769402) to Node (90.396289, 23.769101), Distance: 0.034 km, Cost: ৳0.68
Ride Car from Node (90.396289, 23.769101) to Node (90.395426, 23.769107), Distance: 0.088 km, Cost: ৳1.76
Ride Car from Node (90.395426, 23.769107) to Node (90.395215, 23.768996), Distance: 0.025 km, Cost: ৳0.50
Ride Car from Node (90.395215, 23.768996) to Node (90.394745, 23.768884), Distance: 0.049 km, Cost: ৳0.99
Ride Car from Node (90.394745, 23.768884) to Node (90.394420, 23.768847), Distance: 0.033 km, Cost: ৳0.67
Ride Car from Node (90.394420, 23.768847) to Node (90.394354, 23.768845), Distance: 0.007 km, Cost: ৳0.13
Ride Car from Node (90.394354, 23.768845) to Node (90.394080, 23.768819), Distance: 0.028 km, Cost: ৳0.56
Ride Car from Node (90.394080, 23.768819) to Node (90.393818, 23.768790), Distance: 0.027 km, Cost: ৳0.54
Ride Car from Node (90.393818, 23.768790) to Node (90.393746, 23.768787), Distance: 0.007 km, Cost: ৳0.15
Ride Car from Node (90.393746, 23.768787) to Node (90.393443, 23.768685), Distance: 0.033 km, Cost: ৳0.66
Ride Car from Node (90.393443, 23.768685) to Node (90.393381, 23.768661), Distance: 0.007 km, Cost: ৳0.14
Ride Car from Node (90.393381, 23.768661) to Node (90.393144, 23.768533), Distance: 0.028 km, Cost: ৳0.56
Ride Car from Node (90.393144, 23.768533) to Node (90.392935, 23.768414), Distance: 0.025 km, Cost: ৳0.50
Ride Car from Node (90.392935, 23.768414) to Node (90.392866, 23.768376), Distance: 0.008 km, Cost: ৳0.16
Ride Car from Node (90.392866, 23.768376) to Node (90.391266, 23.767474), Distance: 0.191 km, Cost: ৳3.82
Ride Car from Node (90.391266, 23.767474) to Node (90.390217, 23.766876), Distance: 0.126 km, Cost: ৳2.52
Ride Car from Node (90.390217, 23.766876) to Node (90.389933, 23.766517), Distance: 0.049 km, Cost: ৳0.99
Ride Car from Node (90.389933, 23.766517) to Node (90.389108, 23.766260), Distance: 0.089 km, Cost: ৳1.77
Ride Car from Node (90.389108, 23.766260) to Bijoy Sarani (90.389064, 23.765148), Distance: 0.124 km, Cost: ৳2.47
Ride Car from Bijoy Sarani (90.389064, 23.765148) to Node (90.389060, 23.764362), Distance: 0.087 km, Cost: ৳1.75
Ride Car from Node (90.389060, 23.764362) to Node (90.385566, 23.764922), Distance: 0.361 km, Cost: ৳7.22
Ride Car from Node (90.385566, 23.764922) to Node (90.384368, 23.765113), Distance: 0.124 km, Cost: ৳2.48
Ride Car from Node (90.384368, 23.765113) to Node (90.383391, 23.765135), Distance: 0.099 km, Cost: ৳1.99
Ride Metro from Node (90.383391, 23.765135) to Node (90.383248, 23.766135), Distance: 0.112 km, Cost: ৳0.56
Ride Metro from Node (90.383248, 23.766135) to Node (90.383185, 23.766716), Distance: 0.065 km, Cost: ৳0.32
Ride Metro from Node (90.383185, 23.766716) to Node (90.383073, 23.768440), Distance: 0.192 km, Cost: ৳0.96
Ride Metro from Node (90.383073, 23.768440) to Node (90.382862, 23.769096), Distance: 0.076 km, Cost: ৳0.38
Ride Metro from Node (90.382862, 23.769096) to Node (90.382659, 23.769811), Distance: 0.082 km, Cost: ৳0.41
Ride Metro from Node (90.382659, 23.769811) to Node (90.382573, 23.770330), Distance: 0.058 km, Cost: ৳0.29
Ride Metro from Node (90.382573, 23.770330) to Node (90.382499, 23.770808), Distance: 0.054 km, Cost: ৳0.27
Ride Metro from Node (90.382499, 23.770808) to Node (90.382466, 23.770983), Distance: 0.020 km, Cost: ৳0.10
Ride Metro from Node (90.382466, 23.770983) to Node (90.382191, 23.771810), Distance: 0.096 km, Cost: ৳0.48
Ride Metro from Node (90.382191, 23.771810) to Node (90.382157, 23.771912), Distance: 0.012 km, Cost: ৳0.06
Ride Metro from Node (90.382157, 23.771912) to Node (90.381892, 23.772725), Distance: 0.094 km, Cost: ৳0.47
Ride Metro from Node (90.381892, 23.772725) to Node (90.381704, 23.773340), Distance: 0.071 km, Cost: ৳0.36
Ride Metro from Node (90.381704, 23.773340) to Node (90.381673, 23.773442), Distance: 0.012 km, Cost: ৳0.06
Ride Metro from Node (90.381673, 23.773442) to Node (90.381452, 23.774201), Distance: 0.087 km, Cost: ৳0.44
Ride Metro from Node (90.381452, 23.774201) to Node (90.380805, 23.776426), Distance: 0.256 km, Cost: ৳1.28
Ride Metro from Node (90.380805, 23.776426) to agargaon (90.380682, 23.776812), Distance: 0.045 km, Cost: ৳0.22
Ride Metro from agargaon (90.380682, 23.776812) to Node (90.380444, 23.777563), Distance: 0.087 km, Cost: ৳0.43
Ride Metro from Node (90.380444, 23.777563) to Node (90.380077, 23.778723), Distance: 0.134 km, Cost: ৳0.67
Ride Metro from Node (90.380077, 23.778723) to Node (90.379894, 23.779366), Distance: 0.074 km, Cost: ৳0.37
Ride Metro from Node (90.379894, 23.779366) to Node (90.379592, 23.780428), Distance: 0.122 km, Cost: ৳0.61
Ride Metro from Node (90.379592, 23.780428) to Node (90.379583, 23.780457), Distance: 0.003 km, Cost: ৳0.02
Ride Metro from Node (90.379583, 23.780457) to Node (90.379228, 23.781637), Distance: 0.136 km, Cost: ৳0.68
Ride Metro from Node (90.379228, 23.781637) to Node (90.379181, 23.781792), Distance: 0.018 km, Cost: ৳0.09
Ride Metro from Node (90.379181, 23.781792) to Node (90.378877, 23.782777), Distance: 0.114 km, Cost: ৳0.57
Ride Metro from Node (90.378877, 23.782777) to Node (90.378826, 23.782925), Distance: 0.017 km, Cost: ৳0.09
Ride Metro from Node (90.378826, 23.782925) to Node (90.378692, 23.783315), Distance: 0.045 km, Cost: ৳0.23
Ride Metro from Node (90.378692, 23.783315) to Taltola (90.378656, 23.783412), Distance: 0.011 km, Cost: ৳0.06
Ride Metro from Taltola (90.378656, 23.783412) to Node (90.378502, 23.783828), Distance: 0.049 km, Cost: ৳0.24
Ride Metro from Node (90.378502, 23.783828) to Node (90.378302, 23.784459), Distance: 0.073 km, Cost: ৳0.37
Ride Metro from Node (90.378302, 23.784459) to Node (90.378203, 23.784771), Distance: 0.036 km, Cost: ৳0.18
Ride Metro from Node (90.378203, 23.784771) to Node (90.378136, 23.784941), Distance: 0.020 km, Cost: ৳0.10
Ride Metro from Node (90.378136, 23.784941) to Node (90.378069, 23.785113), Distance: 0.020 km, Cost: ৳0.10
Ride Metro from Node (90.378069, 23.785113) to Node (90.377973, 23.785327), Distance: 0.026 km, Cost: ৳0.13
Ride Metro from Node (90.377973, 23.785327) to Node (90.377790, 23.785763), Distance: 0.052 km, Cost: ৳0.26
Ride Metro from Node (90.377790, 23.785763) to Node (90.377568, 23.786294), Distance: 0.063 km, Cost: ৳0.32
Ride Metro from Node (90.377568, 23.786294) to Node (90.377471, 23.786526), Distance: 0.028 km, Cost: ৳0.14
Ride Metro from Node (90.377471, 23.786526) to Node (90.377392, 23.786714), Distance: 0.022 km, Cost: ৳0.11
Ride Metro from Node (90.377392, 23.786714) to Node (90.377166, 23.787237), Distance: 0.063 km, Cost: ৳0.31
Ride Metro from Node (90.377166, 23.787237) to Node (90.377143, 23.787293), Distance: 0.007 km, Cost: ৳0.03
Ride Metro from Node (90.377143, 23.787293) to Node (90.376798, 23.788087), Distance: 0.095 km, Cost: ৳0.48
Ride Metro from Node (90.376798, 23.788087) to Node (90.376772, 23.788145), Distance: 0.007 km, Cost: ৳0.03
Ride Metro from Node (90.376772, 23.788145) to Node (90.376590, 23.788557), Distance: 0.049 km, Cost: ৳0.25
Ride Metro from Node (90.376590, 23.788557) to Node (90.376537, 23.788676), Distance: 0.014 km, Cost: ৳0.07
Ride Metro from Node (90.376537, 23.788676) to Node (90.376443, 23.788885), Distance: 0.025 km, Cost: ৳0.13
Ride Metro from Node (90.376443, 23.788885) to Node (90.376294, 23.789247), Distance: 0.043 km, Cost: ৳0.22
Ride Metro from Node (90.376294, 23.789247) to Node (90.376133, 23.789607), Distance: 0.043 km, Cost: ৳0.22
Ride Metro from Node (90.376133, 23.789607) to Node (90.376115, 23.789647), Distance: 0.005 km, Cost: ৳0.02
Ride Metro from Node (90.376115, 23.789647) to Node (90.375948, 23.790021), Distance: 0.045 km, Cost: ৳0.22
Ride Metro from Node (90.375948, 23.790021) to Node (90.375786, 23.790389), Distance: 0.044 km, Cost: ৳0.22
Ride Metro from Node (90.375786, 23.790389) to shewra para (90.375743, 23.790491), Distance: 0.012 km, Cost: ৳0.06
Ride Metro from shewra para (90.375743, 23.790491) to Node (90.375552, 23.790927), Distance: 0.052 km, Cost: ৳0.26
Ride Metro from Node (90.375552, 23.790927) to Node (90.375354, 23.791380), Distance: 0.054 km, Cost: ৳0.27
Ride Metro from Node (90.375354, 23.791380) to Node (90.375263, 23.791588), Distance: 0.025 km, Cost: ৳0.12
Ride Metro from Node (90.375263, 23.791588) to Node (90.375250, 23.791618), Distance: 0.004 km, Cost: ৳0.02
Ride Metro from Node (90.375250, 23.791618) to Node (90.375033, 23.792114), Distance: 0.059 km, Cost: ৳0.30
Ride Metro from Node (90.375033, 23.792114) to Node (90.374966, 23.792273), Distance: 0.019 km, Cost: ৳0.09
Ride Metro from Node (90.374966, 23.792273) to Node (90.374845, 23.792558), Distance: 0.034 km, Cost: ৳0.17
Ride Metro from Node (90.374845, 23.792558) to Node (90.374821, 23.792615), Distance: 0.007 km, Cost: ৳0.03
Ride Metro from Node (90.374821, 23.792615) to Node (90.374785, 23.792706), Distance: 0.011 km, Cost: ৳0.05
Ride Metro from Node (90.374785, 23.792706) to Node (90.374575, 23.793232), Distance: 0.062 km, Cost: ৳0.31
Ride Metro from Node (90.374575, 23.793232) to Node (90.374477, 23.793453), Distance: 0.027 km, Cost: ৳0.13
Ride Metro from Node (90.374477, 23.793453) to Node (90.374437, 23.793544), Distance: 0.011 km, Cost: ৳0.05
Ride Metro from Node (90.374437, 23.793544) to Node (90.374272, 23.793924), Distance: 0.045 km, Cost: ৳0.23
Ride Metro from Node (90.374272, 23.793924) to Node (90.374188, 23.794119), Distance: 0.023 km, Cost: ৳0.12
Ride Metro from Node (90.374188, 23.794119) to Node (90.373997, 23.794596), Distance: 0.056 km, Cost: ৳0.28
Ride Metro from Node (90.373997, 23.794596) to Node (90.373856, 23.794949), Distance: 0.042 km, Cost: ৳0.21
Ride Metro from Node (90.373856, 23.794949) to Node (90.373825, 23.795020), Distance: 0.009 km, Cost: ৳0.04
Ride Metro from Node (90.373825, 23.795020) to Node (90.373751, 23.795194), Distance: 0.021 km, Cost: ৳0.10
Ride Metro from Node (90.373751, 23.795194) to Node (90.373647, 23.795438), Distance: 0.029 km, Cost: ৳0.15
Ride Metro from Node (90.373647, 23.795438) to Node (90.373544, 23.795677), Distance: 0.029 km, Cost: ৳0.14
Ride Metro from Node (90.373544, 23.795677) to Node (90.373298, 23.796252), Distance: 0.069 km, Cost: ৳0.34
Ride Metro from Node (90.373298, 23.796252) to Node (90.373208, 23.796461), Distance: 0.025 km, Cost: ৳0.12
Ride Metro from Node (90.373208, 23.796461) to Node (90.373183, 23.796520), Distance: 0.007 km, Cost: ৳0.04
Ride Metro from Node (90.373183, 23.796520) to Node (90.372943, 23.797086), Distance: 0.068 km, Cost: ৳0.34
Ride Metro from Node (90.372943, 23.797086) to Node (90.372853, 23.797300), Distance: 0.025 km, Cost: ৳0.13
Ride Metro from Node (90.372853, 23.797300) to Node (90.372793, 23.797440), Distance: 0.017 km, Cost: ৳0.08
Ride Metro from Node (90.372793, 23.797440) to Node (90.372416, 23.798357), Distance: 0.109 km, Cost: ৳0.54
Ride Metro from Node (90.372416, 23.798357) to Node (90.372187, 23.798902), Distance: 0.065 km, Cost: ৳0.32
Ride Metro from Node (90.372187, 23.798902) to Node (90.372061, 23.799184), Distance: 0.034 km, Cost: ৳0.17
Ride Metro from Node (90.372061, 23.799184) to Node (90.371966, 23.799425), Distance: 0.028 km, Cost: ৳0.14
Ride Metro from Node (90.371966, 23.799425) to Node (90.371735, 23.799963), Distance: 0.064 km, Cost: ৳0.32
Ride Metro from Node (90.371735, 23.799963) to Node (90.371536, 23.800428), Distance: 0.056 km, Cost: ৳0.28
Ride Metro from Node (90.371536, 23.800428) to Node (90.371500, 23.800510), Distance: 0.010 km, Cost: ৳0.05
Ride Metro from Node (90.371500, 23.800510) to Node (90.371483, 23.800552), Distance: 0.005 km, Cost: ৳0.02
Ride Metro from Node (90.371483, 23.800552) to Node (90.371414, 23.800714), Distance: 0.019 km, Cost: ৳0.10
Ride Metro from Node (90.371414, 23.800714) to Node (90.371336, 23.800898), Distance: 0.022 km, Cost: ৳0.11
Ride Metro from Node (90.371336, 23.800898) to Node (90.371197, 23.801224), Distance: 0.039 km, Cost: ৳0.19
Ride Metro from Node (90.371197, 23.801224) to Node (90.371067, 23.801532), Distance: 0.037 km, Cost: ৳0.18
Ride Metro from Node (90.371067, 23.801532) to Node (90.370895, 23.801935), Distance: 0.048 km, Cost: ৳0.24
Ride Metro from Node (90.370895, 23.801935) to Node (90.370836, 23.802074), Distance: 0.017 km, Cost: ৳0.08
Ride Metro from Node (90.370836, 23.802074) to Node (90.370600, 23.802625), Distance: 0.066 km, Cost: ৳0.33
Ride Metro from Node (90.370600, 23.802625) to Node (90.370564, 23.802708), Distance: 0.010 km, Cost: ৳0.05
Ride Metro from Node (90.370564, 23.802708) to Node (90.370483, 23.802896), Distance: 0.022 km, Cost: ৳0.11
Ride Metro from Node (90.370483, 23.802896) to Node (90.370338, 23.803239), Distance: 0.041 km, Cost: ৳0.20
Ride Metro from Node (90.370338, 23.803239) to Node (90.370297, 23.803335), Distance: 0.011 km, Cost: ৳0.06
Ride Metro from Node (90.370297, 23.803335) to Node (90.370208, 23.803547), Distance: 0.025 km, Cost: ৳0.13
Ride Metro from Node (90.370208, 23.803547) to Node (90.370159, 23.803662), Distance: 0.014 km, Cost: ৳0.07
Ride Metro from Node (90.370159, 23.803662) to Node (90.370117, 23.803745), Distance: 0.010 km, Cost: ৳0.05
Ride Metro from Node (90.370117, 23.803745) to Node (90.369938, 23.804101), Distance: 0.044 km, Cost: ৳0.22
Ride Metro from Node (90.369938, 23.804101) to Node (90.369836, 23.804307), Distance: 0.025 km, Cost: ৳0.13
Ride Metro from Node (90.369836, 23.804307) to Node (90.369741, 23.804497), Distance: 0.023 km, Cost: ৳0.12
Ride Metro from Node (90.369741, 23.804497) to Node (90.369672, 23.804634), Distance: 0.017 km, Cost: ৳0.08
Ride Metro from Node (90.369672, 23.804634) to Node (90.369492, 23.804995), Distance: 0.044 km, Cost: ৳0.22
Ride Metro from Node (90.369492, 23.804995) to Node (90.369288, 23.805404), Distance: 0.050 km, Cost: ৳0.25
Ride Metro from Node (90.369288, 23.805404) to Node (90.369223, 23.805553), Distance: 0.018 km, Cost: ৳0.09
Ride Metro from Node (90.369223, 23.805553) to Node (90.369084, 23.805873), Distance: 0.038 km, Cost: ৳0.19
Ride Metro from Node (90.369084, 23.805873) to Node (90.369050, 23.805951), Distance: 0.009 km, Cost: ৳0.05
Ride Metro from Node (90.369050, 23.805951) to Node (90.368835, 23.806442), Distance: 0.059 km, Cost: ৳0.29
Ride Metro from Node (90.368835, 23.806442) to Node (90.368754, 23.806656), Distance: 0.025 km, Cost: ৳0.13
Ride Metro from Node (90.368754, 23.806656) to Node (90.368726, 23.806756), Distance: 0.011 km, Cost: ৳0.06
Ride Metro from Node (90.368726, 23.806756) to Node (90.368654, 23.807017), Distance: 0.030 km, Cost: ৳0.15
Ride Metro from Node (90.368654, 23.807017) to Mirpur10 (90.368626, 23.807119), Distance: 0.012 km, Cost: ৳0.06
Ride Metro from Mirpur10 (90.368626, 23.807119) to Mirpur 10 (90.368481, 23.807630), Distance: 0.059 km, Cost: ৳0.29
Ride Metro from Mirpur 10 (90.368481, 23.807630) to Node (90.368265, 23.808393), Distance: 0.088 km, Cost: ৳0.44
Ride Metro from Node (90.368265, 23.808393) to Node (90.368237, 23.808491), Distance: 0.011 km, Cost: ৳0.06
Ride Metro from Node (90.368237, 23.808491) to Node (90.368180, 23.808691), Distance: 0.023 km, Cost: ৳0.11
Ride Metro from Node (90.368180, 23.808691) to Node (90.368123, 23.808894), Distance: 0.023 km, Cost: ৳0.12
Ride Metro from Node (90.368123, 23.808894) to Node (90.368009, 23.809299), Distance: 0.047 km, Cost: ৳0.23
Ride Metro from Node (90.368009, 23.809299) to Node (90.367976, 23.809417), Distance: 0.014 km, Cost: ৳0.07
Ride Metro from Node (90.367976, 23.809417) to Node (90.367855, 23.809842), Distance: 0.049 km, Cost: ৳0.24
Ride Metro from Node (90.367855, 23.809842) to Node (90.367821, 23.809964), Distance: 0.014 km, Cost: ৳0.07
Ride Metro from Node (90.367821, 23.809964) to Node (90.367680, 23.810460), Distance: 0.057 km, Cost: ৳0.28
Ride Metro from Node (90.367680, 23.810460) to Node (90.367669, 23.810499), Distance: 0.004 km, Cost: ৳0.02
Ride Metro from Node (90.367669, 23.810499) to Node (90.367541, 23.810978), Distance: 0.055 km, Cost: ৳0.27
Ride Metro from Node (90.367541, 23.810978) to Node (90.367482, 23.811196), Distance: 0.025 km, Cost: ৳0.12
Ride Metro from Node (90.367482, 23.811196) to Node (90.367406, 23.811478), Distance: 0.032 km, Cost: ৳0.16
Ride Metro from Node (90.367406, 23.811478) to Node (90.367263, 23.812010), Distance: 0.061 km, Cost: ৳0.30
Ride Metro from Node (90.367263, 23.812010) to Node (90.367136, 23.812482), Distance: 0.054 km, Cost: ৳0.27
Ride Metro from Node (90.367136, 23.812482) to Node (90.367041, 23.812834), Distance: 0.040 km, Cost: ৳0.20
Ride Metro from Node (90.367041, 23.812834) to Node (90.367005, 23.812967), Distance: 0.015 km, Cost: ৳0.08
Ride Metro from Node (90.367005, 23.812967) to Node (90.366978, 23.813069), Distance: 0.012 km, Cost: ৳0.06
Ride Metro from Node (90.366978, 23.813069) to Node (90.366904, 23.813343), Distance: 0.031 km, Cost: ৳0.16
Ride Metro from Node (90.366904, 23.813343) to Node (90.366890, 23.813393), Distance: 0.006 km, Cost: ৳0.03
Ride Metro from Node (90.366890, 23.813393) to Node (90.366742, 23.813941), Distance: 0.063 km, Cost: ৳0.31
Ride Metro from Node (90.366742, 23.813941) to Node (90.366615, 23.814409), Distance: 0.054 km, Cost: ৳0.27
Ride Metro from Node (90.366615, 23.814409) to Node (90.366576, 23.814553), Distance: 0.016 km, Cost: ৳0.08
Ride Metro from Node (90.366576, 23.814553) to Node (90.366474, 23.814931), Distance: 0.043 km, Cost: ৳0.22
Ride Metro from Node (90.366474, 23.814931) to Node (90.366421, 23.815129), Distance: 0.023 km, Cost: ৳0.11
Ride Metro from Node (90.366421, 23.815129) to Node (90.366345, 23.815410), Distance: 0.032 km, Cost: ৳0.16
Ride Metro from Node (90.366345, 23.815410) to Yantai (90.366249, 23.815764), Distance: 0.041 km, Cost: ৳0.20
Ride Metro from Yantai (90.366249, 23.815764) to Node (90.366200, 23.815947), Distance: 0.021 km, Cost: ৳0.10
Ride Metro from Node (90.366200, 23.815947) to Node (90.366170, 23.816058), Distance: 0.013 km, Cost: ৳0.06
